YEAR,STATE,RATE,DEATHS
2022,AK,77.6,561
2021,AK,84.5,591
2020,AK,65.5,464
2019,AK,62.2,434
2018,AK,56.4,400
2017,AK,63.7,436
2016,AK,63.1,439
2015,AK,57.9,388
2014,AK,55,379
2005,AK,50.8,313
2022,AL,68.3,"3,524"
2021,AL,68.9,"3,491"
2020,AL,59.6,"3,006"
2019,AL,54.1,"2,755"
2018,AL,53,"2,682"
2017,AL,53.8,"2,703"
2016,AL,55.5,"2,755"
2015,AL,50.9,"2,552"
2014,AL,49.3,"2,463"
2005,AL,51.9,"2,395"
2022,AR,64.9,"2,062"
2021,AR,65.8,"2,046"
2020,AR,58,"1,824"
2019,AR,48,"1,527"
2018,AR,48.6,"1,530"
2017,AR,51.8,"1,625"
2016,AR,51.8,"1,604"
2015,AR,49.6,"1,538"
2014,AR,47.4,"1,458"
2005,AR,47,"1,329"
2022,AZ,75.6,"5,928"
2021,AZ,78.6,"5,961"
2020,AZ,69.1,"5,398"
2019,AZ,58.7,"4,558"
2018,AZ,55.4,"4,251"
2017,AZ,56.2,"4,184"
2016,AZ,54.2,"4,010"
2015,AZ,49.2,"3,539"
2014,AZ,47,"3,322"
2005,AZ,54.7,"3,150"
2022,CA,51,"21,168"
2021,CA,50.6,"20,879"
2020,CA,44.1,"18,357"
2019,CA,35.9,"15,116"
2018,CA,33.7,"14,153"
2017,CA,33.1,"13,840"
2016,CA,32,"13,213"
2015,CA,30.6,"12,544"
2014,CA,29.2,"11,804"
2005,CA,31.7,"11,129"
2022,CO,69.7,"4,268"
2021,CO,71,"4,206"
2020,CO,60.5,"3,647"
2019,CO,51.9,"3,085"
2018,CO,52.3,"3,049"
2017,CO,53.6,"3,037"
2016,CO,51.2,"2,880"
2015,CO,49.7,"2,725"
2014,CO,47.1,"2,517"
2005,CO,44.1,"1,947"
2022,CT,66.5,"2,640"
2021,CT,67.4,"2,644"
2020,CT,63.5,"2,447"
2019,CT,56.2,"2,197"
2018,CT,53.1,"2,054"
2017,CT,53.2,"2,078"
2016,CT,50.3,"1,978"
2015,CT,44.8,"1,799"
2014,CT,41,"1,642"
2005,CT,30.3,"1,134"
2022,DE,83.8,883
2021,DE,80.6,817
2020,DE,70.9,722
2019,DE,73.9,728
2018,DE,67.1,662
2017,DE,61.9,608
2016,DE,52.4,516
2015,DE,46,449
2014,DE,43.7,425
2005,DE,34.5,293
2022,FL,68.9,"17,115"
2021,FL,74.7,"17,780"
2020,FL,67.7,"16,135"
2019,FL,55.6,"13,348"
2018,FL,53.1,"12,670"
2017,FL,56.1,"13,059"
2016,FL,54.9,"12,561"
2015,FL,46.2,"10,578"
2014,FL,41.4,"9,433"
2005,FL,47.1,"8,868"
2022,GA,58.9,"6,519"
2021,GA,58.8,"6,353"
2020,GA,50.8,"5,517"
2019,GA,42.2,"4,563"
2018,GA,41.7,"4,418"
2017,GA,45.2,"4,712"
2016,GA,45.8,"4,701"
2015,GA,43.2,"4,344"
2014,GA,40.1,"3,964"
2005,GA,45,"3,762"
2022,HI,40.9,693
2021,HI,39.6,656
2020,HI,39.4,654
2019,HI,39.2,651
2018,HI,37.6,625
2017,HI,35.7,585
2016,HI,35.3,577
2015,HI,32.2,536
2014,HI,30.1,476
2005,HI,32,436
2022,IA,49.8,"1,845"
2021,IA,48.7,"1,745"
2020,IA,45.7,"1,647"
2019,IA,42.3,"1,538"
